got 13 samples| raw_EDA=21.0987 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0960 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0987 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1015 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1057 μS | HR=97.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=21.0987 μS | HR=97.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=21.1029 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0946 μS | HR=97.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=21.0960 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0960 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0960 μS | HR=97.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=21.0890 μS | HR=97.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=21.1015 μS | HR=97.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=21.0835 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0765 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0807 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0821 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0835 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0807 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0779 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0779 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0738 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0655 μS | HR=97.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=21.0655 μS | HR=97.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0599 μS | HR=97.1 BPM | RMSSD=— ms
got 12 samples| raw_EDA=21.0585 μS | HR=97.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=21.0571 μS | HR=97.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0599 μS | HR=97.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0571 μS | HR=97.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0599 μS | HR=97.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0488 μS | HR=97.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0599 μS | HR=97.1 BPM | RMSSD=— ms
got 12 samples| raw_EDA=21.0429 μS | HR=97.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0377 μS | HR=97.1 BPM | RMSSD=— ms
got 12 samples| raw_EDA=21.0433 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0460 μS | HR=97.0 BPM | RMSSD=— ms
