got 13 samples| raw_EDA=3.3805 μS | HR=79.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3805 μS | HR=79.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3826 μS | HR=79.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3802 μS | HR=79.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3861 μS | HR=79.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3833 μS | HR=79.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3902 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3888 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3920 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3972 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3923 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3972 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3972 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4020 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4041 μS | HR=79.7 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4041 μS | HR=79.7 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4103 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4065 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4152 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4166 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4214 μS | HR=79.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4259 μS | HR=79.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4225 μS | HR=79.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4253 μS | HR=79.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4214 μS | HR=79.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4239 μS | HR=79.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4249 μS | HR=79.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4242 μS | HR=79.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4214 μS | HR=79.1 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.4214 μS | HR=79.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4221 μS | HR=79.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4263 μS | HR=79.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4221 μS | HR=79.1 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.4221 μS | HR=79.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4187 μS | HR=79.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4207 μS | HR=79.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4218 μS | HR=78.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4194 μS | HR=78.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4173 μS | HR=78.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4124 μS | HR=78.2 BPM | RMSSD=— ms
